"filename", "language", "C++", "Shell Script", "Markdown", "Properties", "YAML", "Dart", "Java", "Objective-C", "Swift", "Ruby", "C", "Gradle", "XML", "comment", "blank", "total"
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/get_application_id_stub.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/lib/src/path_provider_linux.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 15, 16, 93
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/pubspec.yaml", "YAML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test/get_application_id_test.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 3, 13, 63
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/path_provider_linux/test/path_provider_linux_test.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 4, 10, 65
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/CHANGELOG.md", "Markdown", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 98
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/README.md", "Markdown", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 58
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 7, 32
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/android/src/main/java/eu/simonbinder/sqlite3_flutter_libs/Sqlite3FlutterLibsPlugin.java", "Java", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 9, 45
"/Users/stai/Documents/dev/mimikami/packages/article/linux/flutter/ephemeral/.plugin_symlinks/sqlite3_flutter_libs/example/README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
